id,1997-1998,1998-2001,2001-2002,2002-2005,2005-2006,2006-2009,2009-2010,縣市,鄉鎮,1994藍代表,1994綠代表,1994藍得票,1994綠得票,1997藍代表,1997綠代表,1997藍得票,1997綠得票,1998藍代表,1998綠代表,1998藍得票,1998綠得票,2001藍代表,2001綠代表,2001藍得票,2001綠得票,2002藍代表,2002綠代表,2002藍得票,2002綠得票,2005藍代表,2005綠代表,2005藍得票,2005綠得票,2006藍代表,2006綠代表,2006藍得票,2006綠得票,2009藍代表,2009綠代表,2009藍得票,2009綠得票,2010藍代表,2010綠代表,2010藍得票,2010綠得票
63000010,58.584128834803,55.119423124855,55.119423124855,65.007997841546,65.007997841546,59.885730997817,59.885730997817,,臺北市,松山區,64316,45468,"趙少康 黃大洲",陳水扁,,,,,64132,52219,"馬英九 王建煊",陳水扁,,,,,67464,36314,馬英九,李應元,,,,,57334,38405,郝龍斌,謝長廷,,,,,65555,44992,郝龍斌,蘇貞昌
63000020,61.778347460139,58.18838108231,58.18838108231,68.31404416646,68.31404416646,61.246580011607,61.246580011607,,臺北市,信義區,83381,51587,"趙少康 黃大洲",陳水扁,,,,,81892,58844,"馬英九 王建煊",陳水扁,,,,,85411,39616,馬英九,李應元,,,,,66485,42068,郝龍斌,謝長廷,,,,,74794,50172,郝龍斌,蘇貞昌
63000030,63.940243632852,59.694510739857,59.694510739857,68.922868371306,68.922868371306,63.690111268489,63.690111268489,,臺北市,大安區,109912,61986,"趙少康 黃大洲",陳水扁,,,,,106301,71774,"馬英九 王建煊",陳水扁,,,,,110839,49977,馬英九,李應元,,,,,90382,51527,郝龍斌,謝長廷,,,,,100832,60956,郝龍斌,蘇貞昌
63000040,50.936825966061,49.958372783963,49.958372783963,59.829609387558,59.829609387558,52.011230973844,52.011230973844,,臺北市,中山區,58803,56640,"趙少康 黃大洲",陳水扁,,,,,61207,61309,"馬英九 王建煊",陳水扁,,,,,66996,44982,馬英九,李應元,,,,,52794,48711,郝龍斌,謝長廷,,,,,62829,57142,郝龍斌,蘇貞昌
63000050,60.723531437841,57.404855180197,57.404855180197,66.939636453874,66.939636453874,60.914345620945,60.914345620945,,臺北市,中正區,54653,35350,"趙少康 黃大洲",陳水扁,,,,,52898,39251,"馬英九 王建煊",陳水扁,,,,,53950,26645,馬英九,李應元,,,,,42997,27589,郝龍斌,謝長廷,,,,,49145,33385,郝龍斌,蘇貞昌
63000060,40.392487358536,41.000399438209,41.000399438209,51.34599748688,51.34599748688,41.055485748297,41.055485748297,,臺北市,大同區,30195,44559,"趙少康 黃大洲",陳水扁,,,,,31820,45789,"馬英九 王建煊",陳水扁,,,,,34733,32912,馬英九,李應元,,,,,24832,35652,郝龍斌,謝長廷,,,,,29470,40541,郝龍斌,蘇貞昌
63000070,51.389588158292,50.320588163772,50.320588163772,59.881144238517,59.881144238517,50.787481016557,50.787481016557,,臺北市,萬華區,61242,57930,"趙少康 黃大洲",陳水扁,,,,,62079,61288,"馬英九 王建煊",陳水扁,,,,,65395,43813,馬英九,李應元,,,,,47822,46339,郝龍斌,謝長廷,,,,,54350,54303,郝龍斌,蘇貞昌
63000080,65.869087592754,63.607866929572,63.607866929572,73.250153989454,73.250153989454,67.437251757119,67.437251757119,,臺北市,文山區,79448,41167,"趙少康 黃大洲",陳水扁,,,,,88067,50386,"馬英九 王建煊",陳水扁,,,,,97515,35611,馬英九,李應元,,,,,80309,38778,郝龍斌,謝長廷,,,,,92568,48772,郝龍斌,蘇貞昌
63000090,56.35059970138,53.71344938187,53.71344938187,65.737259992246,65.737259992246,57.19781061012,57.19781061012,,臺北市,南港區,34344,26603,"趙少康 黃大洲",陳水扁,,,,,34498,29728,"馬英九 王建煊",陳水扁,,,,,38996,20325,馬英九,李應元,,,,,29887,22365,郝龍斌,謝長廷,,,,,35121,28360,郝龍斌,蘇貞昌
63000100,58.020492773186,56.078066775134,56.078066775134,66.541341653666,66.541341653666,59.492286828276,59.492286828276,,臺北市,內湖區,66195,47894,"趙少康 黃大洲",陳水扁,,,,,74793,58580,"馬英九 王建煊",陳水扁,,,,,85306,42894,馬英九,李應元,,,,,70189,47791,郝龍斌,謝長廷,,,,,84049,59527,郝龍斌,蘇貞昌
63000110,48.912545929161,47.807452141538,47.807452141538,57.602881064101,57.602881064101,49.044172301564,49.044172301564,,臺北市,士林區,79073,82589,"趙少康 黃大洲",陳水扁,,,,,81538,89017,"馬英九 王建煊",陳水扁,,,,,87652,64514,馬英九,李應元,,,,,67961,70610,郝龍斌,謝長廷,,,,,78487,82316,郝龍斌,蘇貞昌
63000120,51.768765520498,50.606752372942,50.606752372942,60.62528353825,60.62528353825,52.159621607315,52.159621607315,,臺北市,北投區,67961,63317,"趙少康 黃大洲",陳水扁,,,,,71604,69887,"馬英九 王建煊",陳水扁,,,,,78845,51208,馬英九,李應元,,,,,61093,56034,郝龍斌,謝長廷,,,,,70665,67663,郝龍斌,蘇貞昌
64000010,57.636809147836,48.466525031323,48.466525031323,43.80046653508,43.80046653508,44.179067915978,44.179067915978,,高雄市,鹽埕區,10585,7780,"吳敦義 湯阿根",張俊雄,,,,,8897,9460,吳敦義,謝長廷,,,,,7323,9396,黃俊英,謝長廷,,,,,7214,9115,黃俊英,陳菊,,,,,3547,9508,黃昭順,陳菊
64000020,62.619774665684,52.723156746753,52.723156746753,49.184758291125,49.184758291125,51.452770831653,51.452770831653,,高雄市,鼓山區,35682,21300,"吳敦義 湯阿根",張俊雄,,,,,31907,28611,吳敦義,謝長廷,,,,,27481,28392,黃俊英,謝長廷,,,,,31893,30092,黃俊英,陳菊,,,,,16298,36998,黃昭順,陳菊
64000030,70.159290347196,60.079134239971,60.079134239971,58.558202010026,58.558202010026,59.157455776517,59.157455776517,,高雄市,左營區,44133,18771,"吳敦義 湯阿根",張俊雄,,,,,45856,30470,吳敦義,謝長廷,,,,,48827,34555,黃俊英,謝長廷,,,,,52772,36434,黃俊英,陳菊,,,,,29330,44281,黃昭順,陳菊
64000040,61.44932625203,51.843218959568,51.843218959568,49.864716440301,49.864716440301,51.720041516087,51.720041516087,,高雄市,楠梓區,42000,26349,"吳敦義 湯阿根",張俊雄,,,,,39813,36982,吳敦義,謝長廷,,,,,37228,37430,黃俊英,謝長廷,,,,,41360,38609,黃俊英,陳菊,,,,,24348,48170,黃昭順,陳菊
64000050,76.122082585278,46.115501112092,81.346153846154,45.653651232435,63.983903420523,47.30146120017,63.983903420523,,高雄市,三民區,89853,69583,"吳敦義 湯阿根",張俊雄,848,266,黃鴻都,余政憲,82520,96422,吳敦義,謝長廷,846,194,吳光訓,楊秋興,79273,94367,黃俊英,謝長廷,1272,716,林益世,楊秋興,83357,92868,黃俊英,陳菊,,,,,38444,107543,黃昭順,陳菊
64000060,58.754291319274,48.501514661333,48.501514661333,47.342815530972,47.342815530972,49.468419832411,49.468419832411,,高雄市,新興區,21564,15138,"吳敦義 湯阿根",張俊雄,,,,,16491,17510,吳敦義,謝長廷,,,,,15278,16993,黃俊英,謝長廷,,,,,14936,15257,黃俊英,陳菊,,,,,7075,16625,黃昭順,陳菊
64000070,59.646085785728,49.321196358908,49.321196358908,46.552821997106,46.552821997106,50.065270093865,50.065270093865,,高雄市,前金區,12404,8392,"吳敦義 湯阿根",張俊雄,,,,,9482,9743,吳敦義,謝長廷,,,,,8042,9233,黃俊英,謝長廷,,,,,8054,8033,黃俊英,陳菊,,,,,3813,8707,黃昭順,陳菊
64000080,60.557331111091,50.077810919466,50.077810919466,49.382679872629,49.382679872629,51.415281985373,51.415281985373,,高雄市,苓雅區,66128,43071,"吳敦義 湯阿根",張俊雄,,,,,54061,53893,吳敦義,謝長廷,,,,,50557,51821,黃俊英,謝長廷,,,,,50406,47631,黃俊英,陳菊,,,,,23042,53978,黃昭順,陳菊
64000090,55.335944977847,46.111417025208,46.111417025208,44.224036210999,44.224036210999,46.996351122846,46.996351122846,,高雄市,前鎮區,56078,45263,"吳敦義 湯阿根",張俊雄,,,,,49407,57740,吳敦義,謝長廷,,,,,45725,57669,黃俊英,謝長廷,,,,,47526,53601,黃俊英,陳菊,,,,,23010,64535,黃昭順,陳菊
